"product","record_date","open_value"
39,"2020-03-17",10.5
39,"2020-03-18",10.18
39,"2020-03-19",10.16
39,"2020-03-20",10.13
39,"2020-03-23",10.06
39,"2020-03-24",10.38
39,"2020-03-25",10.52
39,"2020-03-26",10.83
39,"2020-03-27",10.73
39,"2020-03-30",10.86
39,"2020-03-31",10.82
39,"2020-04-01",10.63
39,"2020-04-02",10.75
39,"2020-04-03",10.69
39,"2020-04-06",10.93
39,"2020-04-07",10.95
39,"2020-04-08",11.08
39,"2020-04-09",11.22
39,"2020-04-13",11.17
39,"2020-04-14",11.32
39,"2020-04-15",11.2
39,"2020-04-16",11.22
39,"2020-04-17",11.36
39,"2020-04-20",11.26
39,"2020-04-21",11.11
39,"2020-04-22",11.21
39,"2020-04-23",11.21
39,"2020-04-24",11.27
39,"2020-04-27",11.34
39,"2020-04-28",11.35
39,"2020-04-29",11.46
39,"2020-04-30",11.4
39,"2020-05-01",11.27
39,"2020-05-04",11.27
39,"2020-05-05",11.32
39,"2020-05-06",11.26
39,"2020-05-07",11.32
39,"2020-05-08",11.4
39,"2020-05-11",11.38
39,"2020-05-12",11.31
39,"2020-05-13",11.24
39,"2020-05-14",11.26
39,"2020-05-15",11.26
39,"2020-05-18",11.42
39,"2020-05-19",11.38
39,"2020-05-20",11.47
39,"2020-05-21",11.44
39,"2020-05-22",11.44
39,"2020-05-26",11.54
39,"2020-05-27",11.61
39,"2020-05-28",11.63
39,"2020-05-29",11.66
39,"2020-06-01",11.7
39,"2020-06-02",11.75
39,"2020-06-03",11.85
39,"2020-06-04",11.84
39,"2020-06-05",11.97
39,"2020-06-08",12.05
39,"2020-06-09",12.0
39,"2020-06-10",11.98
39,"2020-06-11",11.65
39,"2020-06-12",11.71
39,"2020-06-15",11.74
39,"2020-06-16",11.85
39,"2020-06-17",11.84
39,"2020-06-18",11.83
39,"2020-06-19",11.81
39,"2020-06-22",11.84
39,"2020-06-23",11.86
39,"2020-06-24",11.72
39,"2020-06-25",11.77
39,"2020-06-26",11.68
39,"2020-06-29",11.74
39,"2020-06-30",11.79
39,"2020-07-01",11.83
39,"2020-07-02",11.87
39,"2020-07-06",11.95
39,"2020-07-07",11.89
39,"2020-07-08",11.92
39,"2020-07-09",11.87
39,"2020-07-10",11.92
39,"2020-07-13",11.91
39,"2020-07-14",11.98
39,"2020-07-15",12.03
39,"2020-07-16",12.02
39,"2020-07-17",12.05
39,"2020-07-20",12.08
39,"2020-07-21",12.12
39,"2020-07-22",12.15
39,"2020-07-23",12.11
39,"2020-07-24",12.07
39,"2020-07-27",12.12
39,"2020-07-28",12.11
39,"2020-07-29",12.17
39,"2020-07-30",12.14
39,"2020-07-31",12.12
39,"2020-08-03",12.16
39,"2020-08-04",12.2
39,"2020-08-05",12.22
39,"2020-08-06",12.24
39,"2020-08-07",12.24
39,"2020-08-10",12.26
39,"2020-08-11",12.23
39,"2020-08-12",12.3
39,"2020-08-13",12.27
39,"2020-08-14",12.26
39,"2020-08-17",12.28
39,"2020-08-18",12.29
39,"2020-08-19",12.25
39,"2020-08-20",12.25
39,"2020-08-21",12.25
39,"2020-08-24",12.31
39,"2020-08-25",12.32
39,"2020-08-26",12.35
39,"2020-08-27",12.34
39,"2020-08-28",12.38
39,"2020-08-31",12.37
39,"2020-09-01",12.39
39,"2020-09-02",12.49
39,"2020-09-03",12.34
39,"2020-09-04",12.29
39,"2020-09-08",12.18
39,"2020-09-09",12.28
39,"2020-09-10",12.2
39,"2020-09-11",12.23
39,"2020-09-14",12.29
39,"2020-09-15",12.32
39,"2020-09-16",12.32
39,"2020-09-17",12.29
39,"2020-09-18",12.24
39,"2020-09-21",12.13
39,"2020-09-22",12.16
39,"2020-09-23",12.06
39,"2020-09-24",12.06
39,"2020-09-25",12.11
39,"2020-09-28",12.19
39,"2020-09-29",12.17
39,"2020-09-30",12.2
39,"2020-10-01",12.22
39,"2020-10-02",12.19
39,"2020-10-05",12.28
39,"2020-10-06",12.22
39,"2020-10-07",12.3
39,"2020-10-08",12.35
39,"2020-10-09",12.39
39,"2020-10-12",12.44
39,"2020-10-13",12.41
39,"2020-10-14",12.39
39,"2020-10-15",12.36
39,"2020-10-16",12.38
39,"2020-10-19",12.31
39,"2020-10-20",12.32
39,"2020-10-21",12.3
39,"2020-10-22",12.32
39,"2020-10-23",12.34
39,"2020-10-26",12.25
39,"2020-10-27",12.22
39,"2020-10-28",12.03
39,"2020-10-29",12.06
39,"2020-10-30",12.02
39,"2020-11-02",12.1
39,"2020-11-03",12.2
39,"2020-11-04",12.31
39,"2020-11-05",12.42
39,"2020-11-06",12.41
39,"2020-11-09",12.51
39,"2020-11-10",12.55
39,"2020-11-11",12.59
39,"2020-11-12",12.53
39,"2020-11-13",12.61
39,"2020-11-16",12.69
39,"2020-11-17",12.68
39,"2020-11-18",12.64
39,"2020-11-19",12.66
39,"2020-11-20",12.65
39,"2020-11-23",12.68
39,"2020-11-24",12.78
39,"2020-11-25",12.76
39,"2020-11-27",12.78
40,"2020-01-02",13.7
40,"2020-01-03",13.62
40,"2020-01-06",13.68
40,"2020-01-07",13.63
40,"2020-01-08",13.7
40,"2020-01-09",13.8
40,"2020-01-10",13.78
40,"2020-01-13",13.86
40,"2020-01-14",13.84
40,"2020-01-15",13.87
40,"2020-01-16",13.99
40,"2020-01-17",14.04
40,"2020-01-21",14.01
40,"2020-01-22",14.02
40,"2020-01-23",14.03
40,"2020-01-24",13.89
40,"2020-01-27",13.68
40,"2020-01-28",13.82
40,"2020-01-29",13.81
40,"2020-01-30",13.84
40,"2020-01-31",13.6
40,"2020-02-03",13.71
40,"2020-02-04",13.9
40,"2020-02-05",14.06
40,"2020-02-06",14.1
40,"2020-02-07",14.03
40,"2020-02-10",14.14
40,"2020-02-11",14.17
40,"2020-02-12",14.26
40,"2020-02-13",14.25
40,"2020-02-14",14.27
40,"2020-02-18",14.23
40,"2020-02-19",14.29
40,"2020-02-20",14.22
40,"2020-02-21",14.07
40,"2020-02-24",13.62
40,"2020-02-25",13.22
40,"2020-02-26",13.15
40,"2020-02-27",12.6
40,"2020-02-28",12.47
40,"2020-03-02",13.05
40,"2020-03-03",12.69
40,"2020-03-04",13.23
40,"2020-03-05",12.81
40,"2020-03-06",12.61
40,"2020-03-09",11.65
40,"2020-03-10",12.2
40,"2020-03-11",11.58
40,"2020-03-12",10.47
40,"2020-03-13",11.42
40,"2020-03-16",10.02
40,"2020-03-17",10.51
40,"2020-03-18",9.86
40,"2020-03-19",9.94
40,"2020-03-20",9.54
40,"2020-03-23",9.21
40,"2020-03-24",10.05
40,"2020-03-25",10.24
40,"2020-03-26",10.89
40,"2020-03-27",10.53
40,"2020-03-30",10.87
40,"2020-03-31",10.71
40,"2020-04-01",10.25
40,"2020-04-02",10.49
40,"2020-04-03",10.34
40,"2020-04-06",11.06
40,"2020-04-07",11.06
40,"2020-04-08",11.42
40,"2020-04-09",11.59
40,"2020-04-13",11.48
40,"2020-04-14",11.82
40,"2020-04-15",11.57
40,"2020-04-16",11.64
40,"2020-04-17",11.96
40,"2020-04-20",11.75
40,"2020-04-21",11.38
40,"2020-04-22",11.66
40,"2020-04-23",11.65
40,"2020-04-24",11.82
40,"2020-04-27",12.01
40,"2020-04-28",11.94
40,"2020-04-29",12.26
40,"2020-04-30",12.14
40,"2020-05-01",11.82
40,"2020-05-04",11.87
40,"2020-05-05",12.01
40,"2020-05-06",11.93
40,"2020-05-07",12.09
40,"2020-05-08",12.28
40,"2020-05-11",12.3
40,"2020-05-12",12.06
40,"2020-05-13",11.84
40,"2020-05-14",12.0
40,"2020-05-15",12.03
40,"2020-05-18",12.37
40,"2020-05-19",12.26
